order_id,customer_id,customer_name,product_name,category,quantity,unit_price,order_date,status
ZPT100001,CUST2399,Mohit Bhatt,Coca-Cola 1.25L,Cold Drinks,2,623.37,2023-09-25,Pending
ZPT100002,CUST2438,Manish Tiwari,Aashirvaad Atta 5kg,Staples,9,919.86,2024-11-16,Processing
ZPT100003,CUST1239,Shreya Agarwal,Lays Cream Onion 26g,Snacks,8,648.92,2024-12-22,Cancelled
ZPT100004,CUST2963,Arjun Patel,Kellogg's Corn Flakes 250g,Breakfast,10,426.54,2024-01-31,Cancelled
ZPT100005,CUST1389,Aarav Shah,Dove Shampoo 180ml,Personal Care,3,425.23,2024-02-09,Cancelled
ZPT100006,CUST3963,Rajesh Sinha,Lays Cream Onion 26g,Snacks,10,487.82,2024-01-27,Processing
ZPT100007,CUST1054,Deepak Mishra,Saffola Gold Oil 1L,Oils,1,875.83,2024-07-05,Delivered
ZPT100008,CUST1262,Kiran Nair,Tropicana Guava 1L,Juices,3,298.92,2023-12-27,Cancelled
ZPT100009,CUST4408,Mohit Bhatt,Aashirvaad Atta 5kg,Staples,9,991.2,2024-07-03,Delivered
ZPT100010,CUST3816,Kiran Nair,Too Yumm Multigrain 60g,Snacks,7,656.27,2023-12-12,Pending
ZPT100011,CUST2254,Nikhil Chopra,Dettol Soap 75g,Personal Care,1,374.62,2024-02-26,Delivered
ZPT100012,CUST2456,Swati Kulkarni,India Gate Basmati 1kg,Staples,2,376.61,2024-02-13,Delivered
ZPT100013,CUST2793,Rohan Verma,Good Day Cashew 87g,Biscuits,5,554.9,2024-07-24,Pending
ZPT100014,CUST4400,Anita Dubey,Haldiram Bhujia 200g,Snacks,6,289.76,2024-06-25,Processing
ZPT100015,CUST1056,Aditi Choudhary,Lay's Classic Chips 26g,Snacks,5,547.39,2024-05-22,Delivered
ZPT100016,CUST2217,Shreya Agarwal,Amul Milk 1L,Dairy,3,617.39,2024-10-31,Pending
ZPT100017,CUST1553,Aarav Shah,Good Day Cashew 87g,Biscuits,3,218.26,2023-01-24,Delivered
ZPT100018,CUST4994,Priya Mehta,Mother Dairy Curd 400g,Dairy,6,531.13,2024-01-30,Returned
ZPT100019,CUST3283,Priya Mehta,Good Day Cashew 87g,Biscuits,3,56.85,2023-08-10,Delivered
ZPT100020,CUST2777,Vijay Kumar,Amul Milk 1L,Dairy,1,35.11,2023-05-01,Delivered
ZPT100021,CUST1120,Aarav Shah,Aashirvaad Atta 5kg,Staples,3,728.16,2024-11-07,Delivered
ZPT100022,CUST4184,Preeti Trivedi,Aashirvaad Atta 5kg,Staples,4,905.91,2023-08-15,Processing
ZPT100023,CUST3702,Tarun Banerjee,Fortune Rice 5kg,Staples,3,716.38,2024-02-10,Cancelled
ZPT100024,CUST4334,Ananya Singh,Ariel Washing Powder 500g,Cleaning,2,330.73,2023-08-06,Cancelled
ZPT100025,CUST4643,Kiran Nair,Lays Cream Onion 26g,Snacks,8,943.05,2024-03-17,Cancelled
ZPT100026,CUST2325,Gaurav Kapoor,Minute Maid Orange 1L,Juices,4,702.85,2023-08-24,Delivered
ZPT100027,CUST4568,Sneha Iyer,Bournvita 500g,Beverages,6,502.63,2023-03-13,Delivered
ZPT100028,CUST3910,Lakshmi Bose,Good Day Cashew 87g,Biscuits,7,870.73,2023-03-17,Delivered
ZPT100029,CUST1133,Nikhil Chopra,Sprite 750ml,Cold Drinks,4,357.78,2023-11-10,Returned
ZPT100030,CUST1217,Aarav Shah,Aashirvaad Atta 5kg,Staples,3,56.46,2024-02-02,Delivered
ZPT100031,CUST1313,Rohan Verma,Dettol Soap 75g,Personal Care,4,322.7,2023-01-28,Returned
ZPT100032,CUST4970,Nikhil Chopra,Epigamia Greek Yogurt 90g,Dairy,1,905.45,2024-03-10,Returned
ZPT100033,CUST1393,Arjun Patel,Quaker Oats 500g,Breakfast,1,384.83,2024-08-04,Returned
ZPT100034,CUST4432,Pooja Reddy,Kellogg's Corn Flakes 250g,Breakfast,7,202.47,2023-03-27,Cancelled
ZPT100035,CUST3179,Tarun Banerjee,Coca-Cola 1.25L,Cold Drinks,10,297.67,2023-12-07,Processing
ZPT100036,CUST2988,Deepak Mishra,Maggi Noodles 70g,Instant Food,7,699.03,2023-04-07,Delivered
ZPT100037,CUST3989,Divya Pillai,Bournvita 500g,Beverages,8,331.95,2024-12-17,Delivered
ZPT100038,CUST1011,Swati Kulkarni,Britannia Bread 400g,Bakery,5,89.39,2023-04-16,Pending
ZPT100039,CUST3411,Farhan Qureshi,Mother Dairy Curd 400g,Dairy,7,996.5,2023-02-14,Pending
ZPT100040,CUST2367,Amit Sharma,Vim Dishwash Bar 200g,Cleaning,1,145.7,2023-03-30,Delivered
ZPT100041,CUST2558,Lakshmi Bose,Dettol Soap 75g,Personal Care,4,305.42,2024-01-11,Delivered
ZPT100042,CUST1882,Riya Desai,Aashirvaad Atta 5kg,Staples,1,114.77,2024-01-03,Delivered
ZPT100043,CUST3749,Farhan Qureshi,Mother Dairy Curd 400g,Dairy,2,664.73,2024-06-15,Processing
ZPT100044,CUST2768,Swati Kulkarni,Red Bull 250ml,Energy Drinks,1,428.69,2023-06-24,Delivered
ZPT100045,CUST4949,Pooja Reddy,Maggi Noodles 70g,Instant Food,1,238.6,2023-07-02,Delivered
ZPT100046,CUST1814,Pooja Reddy,Sprite 750ml,Cold Drinks,9,196.47,2023-06-21,Returned
ZPT100047,CUST1761,Pranav Jain,Britannia Bread 400g,Bakery,9,400.07,2024-11-20,Cancelled
ZPT100048,CUST3925,Suresh Rao,Tata Salt 1kg,Staples,4,65.37,2023-03-13,Cancelled
ZPT100049,CUST1085,Mohit Bhatt,Vim Dishwash Bar 200g,Cleaning,2,631.46,2024-08-01,Cancelled
ZPT100050,CUST2234,Manish Tiwari,Vim Dishwash Bar 200g,Cleaning,1,335.6,2023-10-06,Processing
ZPT100051,CUST1874,Varun Saxena,Too Yumm Multigrain 60g,Snacks,1,639.98,2023-06-08,Delivered
ZPT100052,CUST3731,Priya Mehta,Ariel Washing Powder 500g,Cleaning,6,309.67,2024-04-28,Delivered
ZPT100053,CUST3838,Anjali Menon,Bournvita 500g,Beverages,5,109.07,2024-04-14,Processing
